,lat,lon,timestamp,amenity,tags,name,weight,vancouver
23,49.2275233,-123.0904316,2011-09-13T05:13:43.000-07:00,bank,"{'addr:housenumber': '6288', 'addr:street': 'Fraser Street'}",Vancity,2,True
24,49.2272431,-123.09085,2011-09-13T05:13:42.000-07:00,pharmacy,"{'addr:housenumber': '6303', 'addr:street': 'Fraser Street'}",Shoppers Drug Mart,0,True
25,49.2284031,-123.0908169,2011-09-13T05:13:43.000-07:00,fast_food,"{'addr:housenumber': '6191', 'addr:street': 'Fraser Street'}",Subway,5,True
26,49.2299673,-123.0908342,2018-02-10T16:17:36.000-08:00,restaurant,"{'cuisine': 'chinese', 'addr:housenumber': '6007', 'addr:street': 'Fraser Street', 'phone': '+1-604-325-9788'}",Good Choice Restaurant,5,True
27,49.225603,-123.0905516,2016-07-22T19:50:06.000-07:00,bank,{},Scotiabank,2,True
32,49.264041399999996,-123.1534072,2019-03-22T02:46:36.000-07:00,fuel,"{'addr:housenumber': '2103', 'website': 'https://www.shell.ca/', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'addr:street': 'West Broadway', 'fuel:diesel': 'yes', 'brand': 'Shell', 'fuel:octane_87': 'yes', 'operator': 'Shell'}",Shell,3,True
33,49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,pub,"{'toilets:wheelchair': 'no', 'wheelchair': 'limited', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}",The Cambie,5,True
38,49.2692701,-123.0570393,2018-02-12T04:08:23.000-08:00,fuel,"{'addr:province': 'British Columbia', 'addr:housenumber': '2398', 'phone': '+1-604-251-1455', 'opening_hours': 'Mo-Fr 06:30-23:00; Sa-Su 07:00-23:00', 'addr:street': 'East 1st Avenue', 'addr:postcode': 'V5N 1C3', 'brand': 'Petro-Canada', 'operator': 'Petro-Canada', 'addr:city': 'Vancouver'}",Petro-Canada,3,True
46,49.2760753,-123.1271668,2015-10-26T07:17:38.000-07:00,parking_entrance,"{'parking': 'underground', 'access': 'customers'}",Hertz,2,True
82,49.2687359,-123.0456329,2018-05-06T07:41:21.000-07:00,dentist,"{'level': '0', 'addr:housenumber': '116-2800'}",1st Ave Dental Group,0,True
83,49.2687365,-123.0457293,2018-05-06T06:20:16.000-07:00,restaurant,"{'opening_hours': 'Tu-Sa 11:30-21:00; Su 12:00-21:00', 'level': '0'}",Fuku Ramen,5,True
84,49.2687481,-123.0460362,2018-05-06T04:36:47.000-07:00,pharmacy,"{'level': '0', 'addr:housenumber': '106-2800'}",Pharmasave Health Centre,0,True
100,49.281302,-123.0575579,2018-04-27T05:31:50.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '2327', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}",Tacofino Commissary,5,True
101,49.2812984,-123.0573443,2018-04-27T05:31:50.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '2341', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}",Miyako Sushi,5,True
102,49.2812866,-123.0550913,2018-04-27T05:31:51.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '2481', 'addr:street': 'East Hastings Street', 'addr:city': 'Vancouver'}",What's Up? Hot Dog!,5,True
103,49.2821554,-123.0998393,2018-04-27T06:46:22.000-07:00,cafe,"{'addr:province': 'BC', 'addr:housenumber': '305', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}",Waves Coffee,5,True
104,49.2832655,-123.0978958,2018-04-27T06:46:22.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '269', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",St Lawrence Restaurant,5,True
105,49.2832876,-123.0980745,2018-04-27T06:46:22.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '261', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",Cuhillo,5,True
106,49.2831728,-123.0935162,2018-04-27T06:46:22.000-07:00,cafe,"{'addr:province': 'BC', 'addr:housenumber': '477', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",The Uncommon Cafe,5,True
107,49.2793422,-123.09948,2018-04-27T06:46:22.000-07:00,bank,"{'addr:province': 'BC', 'addr:housenumber': '605', 'addr:street': 'Main Street', 'addr:city': 'Vancouver'}",Vancity,2,True
108,49.2796054,-123.1002799,2018-04-27T06:46:22.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '185', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}",Juniper,5,True
109,49.2796207,-123.1011093,2018-04-27T06:46:22.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '139', 'addr:street': 'Keefer Street', 'addr:city': 'Vancouver'}",Gold Stone Bakery & Restaurant,5,True
110,49.2821955,-123.1024011,2019-04-30T04:03:29.000-07:00,bar,"{'addr:province': 'BC', 'note': 'They have ping pong. Not sure about how to tag that', 'addr:housenumber': '303', 'addr:street': 'Columbia Street', 'addr:city': 'Vancouver'}",Back and Forth Bar,5,True
111,49.2831638,-123.1035309,2018-04-27T06:46:23.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '26', 'addr:street': 'Powell Street', 'addr:city': 'Vancouver'}",The Sardine Can,5,True
112,49.2836044,-123.1036863,2018-04-27T06:46:23.000-07:00,ice_cream,"{'addr:province': 'BC', 'addr:housenumber': '25', 'addr:street': 'Alexander Street', 'addr:city': 'Vancouver'}",Soft Peaks Ice Cream,5,True
113,49.284169,-123.1073434,2018-04-27T06:46:23.000-07:00,bar,"{'addr:province': 'BC', 'addr:housenumber': '131', 'addr:street': 'Water Street', 'addr:city': 'Vancouver'}",131 Water Kitchen & Bar,5,True
114,49.2834234,-123.1064112,2018-04-27T06:46:23.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '216', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}",Jules Bistro,5,True
115,49.2834662,-123.1067442,2018-04-27T06:46:23.000-07:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '221', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}",Crab Park Chowdery,5,True
116,49.2731066,-123.1007271,2018-04-27T06:46:24.000-07:00,cafe,"{'addr:province': 'BC', 'addr:housenumber': '195', 'addr:street': 'Terminal Avenue', 'addr:city': 'Vancouver'}",Tim Hortons,5,True
130,49.2819978,-123.1243463,2019-03-22T02:51:06.000-07:00,cinema,"{'addr:housenumber': '900', 'website': 'https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver', 'phone': '+1-604-630-1407', 'addr:street': 'Burrard Street', 'is_in:city': 'Vancouver', 'addr:postcode': 'V6Z 3G5', 'wikidata': 'Q38378292', 'operator': 'Cineplex'}",Scotiabank Theatre Vancouver,5,True
131,49.2805037,-123.1068723,2019-02-11T09:12:05.000-08:00,theatre,"{'addr:housenumber': '88', 'alt_name': 'Tinseltown', 'addr:street': 'West Pender Street', 'level': '2'}",Cineplex Odeon International Village Cinemas,5,True
132,49.2742117,-123.1097907,2015-10-12T18:14:24.000-07:00,ferry_terminal,{'operator': 'Aquabus & False Creek Ferries'},Plaza of Nations Dock,4,True
133,49.2724864,-123.1056644,2019-06-16T19:26:57.000-07:00,ferry_terminal,"{'public_transport': 'station', 'operator': 'Aquabus & False Creek Ferries', 'ferry': 'yes'}",Village Dock,4,True
199,49.2022069,-123.1341593,2019-02-20T02:36:05.000-08:00,car_rental,"{'addr:housenumber': '1295', 'website': 'https://www.wickedcampers.ca/', 'addr:street': 'West 75th Avenue'}",Wicked Camper Van,4,True
207,49.268662,-123.1045109,2019-03-22T02:52:21.000-07:00,bar,"{'addr:housenumber': '1830', 'website': 'https://www.facultybrewing.com/', 'shop': 'alcohol', 'phone': '+1-778-819-6794', 'opening_hours': 'Mo-Fr 14:00-23:00; Sa-Su 11:00-23:00', 'outdoor_seating': 'no', 'addr:street': 'Ontario Street', 'addr:postcode': 'V5T 2W6', 'email': 'hola@facultybrewing.com', 'addr:city': 'Vancouver'}",Faculty Brewing,5,True
210,49.2757002,-123.14245,2016-08-24T22:32:32.000-07:00,bicycle_rental,"{'ref': '0077', 'capacity': '28', 'network': 'Mobi'}",Vanier Park,4,True
212,49.2777729,-123.1208527,2016-08-19T18:55:24.000-07:00,bicycle_rental,"{'ref': '0079', 'capacity': '30', 'network': 'Mobi'}",Nelson & Richards,4,True
213,49.2667096,-123.1048197,2016-08-20T04:15:34.000-07:00,bicycle_rental,"{'ref': '0073', 'capacity': '18', 'network': 'Mobi'}",Ontario & 5th,4,True
214,49.2685718,-123.1045263,2018-10-26T20:30:44.000-07:00,cafe,"{'addr:housenumber': '1836', 'addr:street': 'Ontario Street', 'phone': '+1-604-876-3620'}",Argo Cafe,5,True
216,49.2672519,-123.1033949,2018-10-26T20:30:44.000-07:00,pub,"{'opening_hours': 'Su-Tu 11:00-23:00; We-Sa 11:00-00:00', 'website': 'https://www.randbbrewing.com/alehouse', 'phone': '+1-604-336-0275'}",R & B Ale & Pizza House,5,True
220,49.2665754,-123.103744,2018-10-26T20:30:44.000-07:00,restaurant,"{'opening_hours': 'Su-Th 11:00-21:30; Fr-Sa 11:00-22:00', 'addr:housenumber': '43', 'website': 'http://www.peacefulrestaurant.com', 'addr:street': 'East 5th Avenue', 'phone': '+1-604-559-9511'}",Peaceful Restaurant,5,True
286,49.2792244,-123.0995102,2018-02-04T14:03:11.000-08:00,university,"{'addr:housenumber': '612', 'website': 'http://learningexchange.ubc.ca', 'phone': '+1-604-408-5164', 'opening_hours': 'Mo-We 09:00-12:00, 13:00-17:00; Th 09:00-12:00, 13:00-19:00; Fr 13:00-17:00', 'addr:street': 'Main Street', 'fax': '+1-604-682-6807', 'email': 'learning.exchange@ubc.ca'}",UBC Learning Exchange,1,True
325,49.235221,-123.1157169,2018-12-14T09:20:00.000-08:00,cafe,"{'addr:province': 'BC', 'name:fr': 'Starbucks', 'addr:housenumber': '5504', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}",Starbucks,5,True
329,49.2195944,-123.0668488,2018-08-22T06:40:16.000-07:00,library,"{'opening_hours': 'Tu, We 10:00-21:00; Th-Sa 10:00-18:00; Su 13:00-17:00', 'addr:housenumber': '1950', 'website': 'https://www.vpl.ca/location/fraser-branch', 'addr:street': 'Argyle Drive', 'operator': 'Vancouver Public Library'}",VPL Fraserview Branch,1,True
331,49.2325006,-123.0773431,2017-02-09T07:15:29.000-08:00,fuel,"{'addr:housenumber': '1396', 'addr:street': 'East 41st Avenue', 'operator': 'Shell'}",Shell,3,True
336,49.3104392,-123.0512011,2008-04-09T23:47:46.000-07:00,school,{'created_by': 'Potlatch 0.8a'},Winsor House,0,True
340,49.2635825,-123.1288364,2019-05-04T04:55:51.000-07:00,cafe,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'},Waves,5,True
362,49.2826816,-123.107005,2016-08-11T22:47:15.000-07:00,bicycle_rental,"{'ref': '0030', 'capacity': '14', 'network': 'Mobi'}",Abbott & Cordova,4,True
372,49.2873431,-123.1143935,2016-07-26T13:49:27.000-07:00,cafe,{'cuisine': 'coffee_shop'},Starbucks,5,True
384,49.2842686,-123.1197597,2018-02-10T15:24:53.000-08:00,fast_food,"{'opening_hours': 'Mo-Fr 07:00-15:00', 'cuisine': 'sandwich', 'website': 'http://www.smokehousesandwich.ca', 'phone': '+1-604-620-0766'}",Smokehouse Sandwich Co,5,True
387,49.2874429,-123.128883,2018-06-17T21:52:25.000-07:00,restaurant,"{'addr:housenumber': '1329', 'addr:street': 'Robson Street'}",JoongWon,5,True
388,49.2866244,-123.1282577,2018-02-26T14:27:13.000-08:00,fast_food,"{'addr:province': 'BC', 'addr:housenumber': '1260', 'phone': '+1-604-568-0303', 'opening_hours': 'Mo-Su 09:00-23:00', 'cuisine': 'chinese', 'addr:street': 'Robson Street', 'addr:postcode': 'V6E 1C1', 'addr:city': 'Vancouver'}",Chongqing on Robson,5,True
389,49.2872865,-123.1286526,2016-07-27T15:29:41.000-07:00,restaurant,"{'cuisine': 'mediterranean', 'addr:housenumber': '202-1323', 'addr:street': 'Robson Street'}",Semiramis,5,True
390,49.287665,-123.1292506,2016-07-27T15:29:41.000-07:00,restaurant,"{'cuisine': 'greek', 'addr:street': 'Robson Street'}",Stepho's,5,True
391,49.2867409,-123.1284213,2016-07-27T14:52:31.000-07:00,fast_food,"{'cuisine': 'indian', 'addr:housenumber': '1282', 'addr:street': 'Robson Street'}",A Taste of India,5,True
392,49.2875736,-123.1290908,2017-07-19T21:15:16.000-07:00,restaurant,"{'cuisine': 'chinese', 'addr:housenumber': '1339', 'addr:street': 'Robson Street'}",Hon's Wun-Tun House,5,True
393,49.287388,-123.1282948,2016-07-27T14:52:15.000-07:00,restaurant,"{'cuisine': 'japanese', 'addr:housenumber': '793', 'addr:street': 'Jervis Street'}",Yakinikuya,5,True
394,49.2871553,-123.1290789,2019-03-22T02:54:41.000-07:00,restaurant,"{'opening_hours': '24/7', 'website': 'https://foragevancouver.com/', 'addr:street': 'Robson Street', 'phone': '+1-604-661-1400'}",Forage,5,True
395,49.2870445,-123.128902,2019-06-17T19:35:04.000-07:00,restaurant,"{'opening_hours': 'Mo-Th 12:00-00:00; Fr 12:00-01:00; Sa 11:00-01:00; Su 11:00-00:00', 'cuisine': 'american', 'addr:housenumber': '1300', 'addr:street': 'Robson Street'}",Timber,5,True
396,49.2875292,-123.1290309,2018-10-26T20:30:43.000-07:00,restaurant,"{'addr:housenumber': '1335', 'phone': '+1-604-681-0339', 'smoking': 'no', 'opening_hours': 'Mo-Fr 11:30-14:00, 17:00-21:30; Sa 17:00-21:30', 'cuisine': 'japanese;sushi', 'outdoor_seating': 'no', 'addr:street': 'Robson Street', 'addr:postcode': 'V6E 1C6', 'addr:city': 'Vancouver'}",Miko Sushi,5,True
397,49.2875631,-123.129718,2016-07-27T15:29:40.000-07:00,restaurant,"{'cuisine': 'breakfast;sandwich', 'addr:housenumber': '1368', 'addr:street': 'Robson Street'}",Cora,5,True
398,49.2865615,-123.1281828,2016-07-27T18:08:36.000-07:00,fast_food,"{'cuisine': 'japanese', 'addr:housenumber': '1258', 'addr:street': 'Robson Street'}",Pok'e Time,5,True
399,49.2864194,-123.1272344,2019-03-02T23:17:21.000-08:00,cafe,"{'addr:housenumber': '1223', 'addr:street': 'Robson Street'}",Abode,5,True
400,49.2866559,-123.1274985,2016-07-27T18:08:39.000-07:00,pub,{'addr:street': 'Robson Street'},Shenanigans,5,True
415,49.2623529,-123.0894813,2018-02-09T15:16:22.000-08:00,restaurant,"{'addr:province': 'BC', 'addr:housenumber': '670', 'phone': '+1-778-379-1255', 'cuisine': 'french', 'addr:street': 'East Broadway', 'addr:postcode': 'V5T 1X6', 'addr:city': 'Vancouver'}",Poutinerie Jean Talon,5,True
416,49.2871914,-123.1129258,2016-08-11T22:47:16.000-07:00,bicycle_rental,"{'ref': '0014', 'capacity': '22', 'network': 'Mobi'}",Canada Place,4,True
418,49.2628054,-123.114648,2019-06-30T03:31:54.000-07:00,bench,"{'wheelchair': 'yes', 'image': 'https://www.flickr.com/photos/147207837@N04/33444735648/in/dateposted-public/', 'bus': 'yes', 'backrest': 'yes', 'shelter': 'yes', 'notes': 'covered, paved', 'description': 'Bench is at a bus stop so back rest is the glass structure of the stop', 'seats': '3', 'tactile_paving': 'no', 'colour': 'brown, grey', 'ref': '61027', 'material': 'wood,_metal', 'highway': 'bus_stop'}",Broadway-City Hall Station Bay 2,0,True
425,49.2796591,-123.1162932,2016-08-11T23:07:27.000-07:00,bicycle_rental,"{'ref': '0025', 'capacity': '20', 'network': 'Mobi'}",Homer & Robson,4,True
444,49.2686976,-123.1342568,2013-01-20T03:38:21.000-08:00,shelter,{'tourism': 'information'},Trans Canada Trail Pavillion,0,True
447,49.2665308,-123.1159521,2010-03-04T20:01:07.000-08:00,bicycle_parking,{'url': 'http://www.thebicyclevalet.com'},Free & Safe Bicycle Parking,1,True
475,49.2829831,-123.1098733,2009-05-07T02:01:01.000-07:00,cafe,{'created_by': 'Potlatch 0.10f'},New Amsterdam Cafe,5,True
483,49.2347493,-123.1547249,2017-02-13T22:13:51.000-08:00,fast_food,"{'wheelchair': 'yes', 'addr:housenumber': '2095', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue'}",McDonald's,5,True
497,49.2870136,-123.1090249,2019-03-27T03:46:30.000-07:00,ferry_terminal,"{'wheelchair': 'yes', 'website': 'https://translink.ca/', 'cargo': 'passengers'}",Waterfront,4,True
498,49.3095361,-123.0838831,2018-01-09T09:04:06.000-08:00,ferry_terminal,"{'wheelchair': 'yes', 'wikipedia': 'en:Lonsdale Quay (TransLink)', 'cargo': 'passengers', 'wikidata': 'Q28233228'}",Lonsdale Quay,4,True
526,49.2387806,-123.0316319,2019-07-07T03:58:25.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'wheelchair': 'yes', 'website': 'https://www.timhortons.com/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '5055', 'phone': '+1-604-433-3354', 'smoking': 'no', 'opening_hours': '24/7', 'addr:street': 'Joyce Street', 'brand': 'Tim Hortons'}",Tim Hortons,5,True
527,49.2642501,-123.1817272,2016-08-07T23:05:19.000-07:00,cafe,"{'opening_hours': 'Mo-Fr 08:00-18:00; Sa-Su 09:00-18:00', 'addr:housenumber': '3498', 'addr:street': 'W Broadway'}",Essentia Cafe,5,True
528,49.2642834,-123.1758264,2016-08-07T23:05:18.000-07:00,restaurant,{},Deacon's Coener,5,True
529,49.2330575,-123.0900907,2019-01-26T04:00:52.000-08:00,veterinary,{'opening_hours': '24/7'},Atlas Animal Hospital,0,True
530,49.2463251,-123.1848415,2016-08-07T23:05:33.000-07:00,fast_food,"{'opening_hours': 'Mo 07:00-00:00; Tu-Fr 07:00-02:00; Sa 08:00-02:00; Su 09:00-00:00', 'addr:housenumber': '4490', 'addr:street': 'Dunbar Street'}",Subway,5,True
531,49.2640495,-123.1138199,2016-08-07T23:08:37.000-07:00,bank,"{'opening_hours': 'Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su 11:00-16:00', 'addr:housenumber': '433', 'addr:street': 'West 8th Avenue'}",TD Canada Trust,2,True
542,49.2686141,-123.158778,2016-08-09T00:17:08.000-07:00,cafe,{},Starbucks,5,True
549,49.2862921,-123.125624,2019-07-17T18:32:17.000-07:00,restaurant,"{'addr:housenumber': '1172', 'addr:street': 'Alberni Street', 'phone': '+1-604-682-8833'}",Kirin Mandarin Restaurant,5,True
550,49.2861738,-123.125534,2016-08-09T19:10:27.000-07:00,restaurant,"{'addr:housenumber': '1152', 'addr:street': 'Alberni Street'}",Pink Elephant,5,True
551,49.2860936,-123.1251762,2019-07-14T20:19:12.000-07:00,cafe,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1150', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'addr:street': 'Alberni Street', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",Tim Hortons,5,True
552,49.2862391,-123.1255092,2016-08-09T19:10:28.000-07:00,fast_food,"{'addr:housenumber': '1158', 'addr:street': 'Alberni Street'}",A&W,5,True
553,49.2862345,-123.1256199,2019-07-14T20:19:12.000-07:00,fast_food,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '1162', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'addr:street': 'Alberni Street', 'takeaway': 'yes', 'brand': 'Subway'}",Subway,5,True
554,49.28525,-123.1254062,2016-08-09T19:10:21.000-07:00,restaurant,"{'cuisine': 'asian', 'addr:housenumber': '1133', 'addr:street': 'Robson Street'}",Fantacity Karaoke,5,True
555,49.2876133,-123.1149238,2016-08-09T21:35:34.000-07:00,cafe,{},Starbucks,5,True
558,49.2637356,-123.1555554,2016-11-16T20:34:48.000-08:00,atm,{},BlueShore Financial,5,True
568,49.2833805,-123.1310401,2016-08-11T22:47:16.000-07:00,bicycle_rental,"{'ref': '0050', 'capacity': '22', 'network': 'Mobi'}",Bute & Comox,4,True
581,49.2738549,-123.114558,2016-11-09T18:22:19.000-08:00,bicycle_rental,"{'ref': '0057', 'capacity': '26', 'network': 'Mobi'}",Marinaside & Cooperage,4,True
582,49.2606046,-123.1134246,2016-11-09T18:22:19.000-08:00,bicycle_rental,"{'ref': '0007', 'capacity': '16', 'network': 'Mobi'}",12th & Yukon,4,True
583,49.2695442,-123.1378336,2016-08-11T22:47:15.000-07:00,bicycle_rental,"{'ref': '0066', 'capacity': '28', 'network': 'Mobi'}",Anderson & 2nd,4,True
585,49.2774968,-123.1142367,2016-08-12T05:24:36.000-07:00,bicycle_rental,"{'ref': '0026', 'capacity': '20', 'network': 'Mobi'}",Beatty & Robson,4,True
588,49.2782142,-123.1186318,2016-08-12T05:24:38.000-07:00,bicycle_rental,"{'ref': '0058', 'capacity': '18', 'network': 'Mobi'}",Homer & Smithe,4,True
591,49.2761354,-123.1145509,2016-10-06T00:47:43.000-07:00,bicycle_rental,"{'ref': '0064', 'capacity': '16', 'network': 'Mobi'}",Expo & Smithe,4,True
592,49.2761513,-123.1238954,2016-08-12T05:24:39.000-07:00,bicycle_rental,"{'ref': '0082', 'capacity': '14', 'network': 'Mobi'}",Richards & Davie,4,True
593,49.2765028,-123.1189009,2017-07-26T23:00:30.000-07:00,bicycle_rental,"{'ref': '0078', 'capacity': '30', 'network': 'Mobi'}",Nelson & Mainland,4,True
596,49.2823937,-123.1185854,2016-08-12T17:32:04.000-07:00,bicycle_rental,"{'ref': '0015', 'capacity': '20', 'network': 'Mobi'}",Granville & Georgia,4,True
601,49.2780481,-123.1057008,2016-08-13T02:21:36.000-07:00,bicycle_rental,"{'ref': '0054', 'capacity': '16', 'network': 'Mobi'}",Expo & Carrall,4,True
602,49.2797995,-123.1079267,2016-08-13T02:21:37.000-07:00,bicycle_rental,"{'ref': '0053', 'capacity': '28', 'network': 'Mobi'}",Keefer & Abbott,4,True
604,49.2844219,-123.0664241,2016-08-14T02:07:34.000-07:00,recycling,{},Return-It,0,True
605,49.2829856,-123.0737044,2018-02-05T16:11:32.000-08:00,fuel,"{'addr:province': 'BC', 'addr:housenumber': '1501', 'contact:phone': '+1-604-215-7754', 'addr:street': 'Powell Street', 'addr:postcode': 'V5L 1H3', 'operator': 'Petro Canada', 'addr:city': 'Vancouver'}",Petro Pass,3,True
607,49.2656102,-123.1525342,2016-08-14T04:32:35.000-07:00,bicycle_rental,"{'ref': '0109', 'capacity': '16', 'network': 'Mobi'}",7th & Arbutus,4,True
608,49.2650786,-123.1194282,2016-08-14T04:32:37.000-07:00,bicycle_rental,"{'ref': '0081', 'capacity': '18', 'network': 'Mobi'}",Heather & 7th,4,True
609,49.2682673,-123.1478672,2016-08-14T04:32:34.000-07:00,bicycle_rental,"{'ref': '0076', 'capacity': '18', 'network': 'Mobi'}",Cypress & 4th,4,True
610,49.2642151,-123.1178195,2016-08-14T04:32:37.000-07:00,bicycle_rental,"{'ref': '0008', 'capacity': '16', 'network': 'Mobi'}",8th & Ash,4,True
611,49.268926,-123.1180979,2019-04-27T02:44:14.000-07:00,bicycle_rental,"{'ref': '0010', 'capacity': '12', 'network': 'Mobi'}",Stamp's Landing,4,True
612,49.2587688,-123.1152956,2016-08-14T04:32:36.000-07:00,bicycle_rental,"{'ref': '0072', 'capacity': '14', 'network': 'Mobi'}",14th & Cambie,4,True
615,49.2575397,-123.1484736,2016-08-14T04:32:36.000-07:00,bicycle_rental,"{'ref': '0115', 'capacity': '20', 'network': 'Mobi'}",Cypress & 16th,4,True
616,49.2631449,-123.1241301,2016-08-14T04:32:36.000-07:00,bicycle_rental,"{'ref': '0080', 'capacity': '14', 'network': 'Mobi'}",Laurel & Broadway,4,True
620,49.2687109,-123.1186399,2016-08-14T04:33:38.000-07:00,pub,{'addr:housenumber': '610'},The Wicklow Pub,5,True
621,49.2821452,-123.0762115,2018-10-26T20:30:44.000-07:00,bar,"{'addr:housenumber': '1338', 'website': 'http://www.callisterbrewing.com/', 'shop': 'alcohol', 'phone': '+1-604-569-2739', 'opening_hours': 'Mo-Th 14:00-21:00; Fr 14:00-22:00, 09:00-18:00; Sa 13:00-22:00; Su 13:00-20:00', 'outdoor_seating': 'no', 'addr:street': 'Franklin Street', 'addr:postcode': 'V5L 1N9', 'email': 'info@callisterbrewing.com', 'addr:city': 'Vancouver'}",Callister Tasting Room,5,True
625,49.2833626,-123.0757512,2019-03-22T02:56:22.000-07:00,bar,"{'opening_hours': 'Mo-Th 14:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00', 'website': 'https://www.powellbeer.com/', 'shop': 'alcohol', 'email': 'tim@powellbeer.com'}",Powell Brewery Tasting Room,5,True
